"1","<0x84e0-P-01>","[0x84e0]","1","B500NORTH____1VP","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Pos. Seq"
"2","<0x84e0-P-02>","[0x84e0]","2","B500NORTH____1VA","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase A"
"3","<0x84e0-P-03>","[0x84e0]","3","B500NORTH____1VB","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase B"
"4","<0x84e0-P-04>","[0x84e0]","4","B500NORTH____1VC","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase C"
"5","<0x84e0-P-05>","[0x84e0]","5","B500SOUTH____1VP","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Pos. Seq"
"6","<0x84e0-P-06>","[0x84e0]","6","B500SOUTH____1VA","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase A"
"7","<0x84e0-P-07>","[0x84e0]","7","B500SOUTH____1VB","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase B"
"8","<0x84e0-P-08>","[0x84e0]","8","B500SOUTH____1VC","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase C"
"9","<0x84e0-P-09>","[0x84e0]","9","L500NAPLES___1IP","NAPLES","500NAPLES___1","Naples","Phasor","Line",500,"1","Current","Pos. Seq"
"10","<0x84e0-P-10>","[0x84e0]","10","L500KEEBLER__1IP","KEEBLER","500KEEBLER__1","Keebler","Phasor","Line",500,"1","Current","Pos. Seq"
"11","<0x84e0-P-11>","[0x84e0]","11","L500PAULTON__2IP","PAULTON","500PAULTON__2","Paulton","Phasor","Line",500,"2","Current","Pos. Seq"
"12","<0x84e0-P-12>","[0x84e0]","12","T500BANK1____1IP","BANK1","500BANK1____1","Transformer Bank #1","Phasor","Transformer",500,"1","Current","Pos. Seq"
"13","<0x84e0-P-13>","[0x84e0]","13","T500BANK2____1IP","BANK2","500BANK2____1","Transformer Bank #2","Phasor","Transformer",500,"1","Current","Pos. Seq"
"14","<0x84e0-A-01>","[0x84e0]","1","A500NAPLES___1MW","NAPLES","500NAPLES___1","Naples","Analog","Analog",500,"1","Power-Real",""
"15","<0x84e0-A-02>","[0x84e0]","2","A500NAPLES___1MV","NAPLES","500NAPLES___1","Naples","Analog","Analog",500,"1","Power-Reactive",""
"16","<0x84e0-A-03>","[0x84e0]","3","A500KEEBLER__1MW","KEEBLER","500KEEBLER__1","Keebler","Analog","Analog",500,"1","Power-Real",""
"17","<0x84e0-A-04>","[0x84e0]","4","A500KEEBLER__1MV","KEEBLER","500KEEBLER__1","Keebler","Analog","Analog",500,"1","Power-Reactive",""
"18","<0x84e0-A-05>","[0x84e0]","5","A500PAULTON__2MW","PAULTON","500PAULTON__2","Paulton","Analog","Analog",500,"2","Power-Real",""
"19","<0x84e0-A-06>","[0x84e0]","6","A500PAULTON__2MV","PAULTON","500PAULTON__2","Paulton","Analog","Analog",500,"2","Power-Reactive",""
"20","<0x84e0-A-07>","[0x84e0]","7","A500BANK1____1MW","BANK1","500BANK1____1","Transformer Bank #1","Analog","Analog",500,"1","Power-Real",""
"21","<0x84e0-A-08>","[0x84e0]","8","A500BANK1____1MV","BANK1","500BANK1____1","Transformer Bank #1","Analog","Analog",500,"1","Power-Reactive",""
"22","<0x84e0-A-09>","[0x84e0]","9","A500BANK2____1MW","BANK2","500BANK2____1","Transformer Bank #2","Analog","Analog",500,"1","Power-Real",""
"23","<0x84e0-A-10>","[0x84e0]","10","A500BANK2____1MV","BANK2","500BANK2____1","Transformer Bank #2","Analog","Analog",500,"1","Power-Reactive",""
"24","<0x84e0-F-01>","[0x84e0]","1","A500FREQ_____1F_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","Frequency",""
"25","<0x84e0-F-02>","[0x84e0]","2","A500FREQ_____1R_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","ROCOF",""
"26","<0x852a-P-01>","[0x852a]","1","B500NORTH____1VP","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Pos. Seq"
"27","<0x852a-P-02>","[0x852a]","2","B500NORTH____1VA","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase A"
"28","<0x852a-P-03>","[0x852a]","3","B500NORTH____1VB","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase B"
"29","<0x852a-P-04>","[0x852a]","4","B500NORTH____1VC","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase C"
"30","<0x852a-P-05>","[0x852a]","5","B500SOUTH____1VP","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Pos. Seq"
"31","<0x852a-P-06>","[0x852a]","6","B500SOUTH____1VA","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase A"
"32","<0x852a-P-07>","[0x852a]","7","B500SOUTH____1VB","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase B"
"33","<0x852a-P-08>","[0x852a]","8","B500SOUTH____1VC","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase C"
"34","<0x852a-P-09>","[0x852a]","9","L500MARSLLE__1IP","MARSLLE","500MARSLLE__1","Marseille","Phasor","Line",500,"1","Current","Pos. Seq"
"35","<0x852a-P-10>","[0x852a]","10","L500CGS______1IP","CGS","500CGS______1","CGS","Phasor","Line",500,"1","Current","Pos. Seq"
"36","<0x852a-P-11>","[0x852a]","11","L500SLAWNO___1IP","SLAWNO","500SLAWNO___1","Slawno","Phasor","Line",500,"1","Current","Pos. Seq"
"37","<0x852a-P-12>","[0x852a]","12","R500G1_______1IP","G1","500G1_______1","Capacitor Group #1","Phasor","Reactor",500,"1","Current","Pos. Seq"
"38","<0x852a-P-13>","[0x852a]","13","L500HANOVER__1IP","HANOVER","500HANOVER__1","Hanover","Phasor","Line",500,"1","Current","Pos. Seq"
"39","<0x852a-P-14>","[0x852a]","14","L500LOWLL____1IP","LOWLL","500LOWLL____1","Lowell","Phasor","Line",500,"1","Current","Pos. Seq"
"40","<0x852a-A-01>","[0x852a]","1","A500MARSLLE__1MW","MARSLLE","500MARSLLE__1","Marseille","Analog","Analog",500,"1","Power-Real",""
"41","<0x852a-A-02>","[0x852a]","2","A500MARSLLE__1MV","MARSLLE","500MARSLLE__1","Marseille","Analog","Analog",500,"1","Power-Reactive",""
"42","<0x852a-A-03>","[0x852a]","3","A500CGS______1MW","CGS","500CGS______1","CGS","Analog","Analog",500,"1","Power-Real",""
"43","<0x852a-A-04>","[0x852a]","4","A500CGS______1MV","CGS","500CGS______1","CGS","Analog","Analog",500,"1","Power-Reactive",""
"44","<0x852a-A-05>","[0x852a]","5","A500SLAWNO___1MW","SLAWNO","500SLAWNO___1","Slawno","Analog","Analog",500,"1","Power-Real",""
"45","<0x852a-A-06>","[0x852a]","6","A500SLAWNO___1MV","SLAWNO","500SLAWNO___1","Slawno","Analog","Analog",500,"1","Power-Reactive",""
"46","<0x852a-A-07>","[0x852a]","7","A500REACG1___1MW","REACG1","500REACG1___1","Reactor Bank #1","Analog","Analog",500,"1","Power-Real",""
"47","<0x852a-A-08>","[0x852a]","8","A500REACG1___1MV","REACG1","500REACG1___1","Reactor Bank #1","Analog","Analog",500,"1","Power-Reactive",""
"48","<0x852a-A-09>","[0x852a]","9","A500HANOVER__1MW","HANOVER","500HANOVER__1","Hanover","Analog","Analog",500,"1","Power-Real",""
"49","<0x852a-A-10>","[0x852a]","10","A500HANOVER__1MV","HANOVER","500HANOVER__1","Hanover","Analog","Analog",500,"1","Power-Reactive",""
"50","<0x852a-A-11>","[0x852a]","11","A500LOWLL____1MW","LOWLL","500LOWLL____1","Lowell","Analog","Analog",500,"1","Power-Real",""
"51","<0x852a-A-12>","[0x852a]","12","A500LOWLL____1MV","LOWLL","500LOWLL____1","Lowell","Analog","Analog",500,"1","Power-Reactive",""
"52","<0x852a-F-01>","[0x852a]","1","A500FREQ_____1F_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","Frequency",""
"53","<0x852a-F-02>","[0x852a]","2","A500FREQ_____1R_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","ROCOF",""
"54","<0x8508-P-01>","[0x852b]","1","B230SECT1____1VP","SECT1","230SECT1____1","Section #1","Phasor","Bus",230,"1","Voltage","Pos. Seq"
"55","<0x8508-P-02>","[0x852b]","2","B230SECT1____1VA","SECT1","230SECT1____1","Section #1","Phasor","Bus",230,"1","Voltage","Phase A"
"56","<0x8508-P-03>","[0x852b]","3","B230SECT1____1VB","SECT1","230SECT1____1","Section #1","Phasor","Bus",230,"1","Voltage","Phase B"
"57","<0x8508-P-04>","[0x852b]","4","B230SECT1____1VC","SECT1","230SECT1____1","Section #1","Phasor","Bus",230,"1","Voltage","Phase C"
